filename,width,height,aspect_ratio,category,suggested_use,path,assunto,descricao_assunto
3729242727107048.jpg,960,720,1.33,square,Galeria Grid / Eventos,/home/horyu/Projetos/ciclismo_santa_helena_midias/facebook_fotos_organizadas/03_quadradas_galeria/3729242727107048.jpg,Pedal de Grupo & Trilhas MTB,Registros dos ciclistas em ação nas trilhas de terra e estradas rurais.
555512969919320.jpg,1600,720,2.22,hero,Banner Hero / Carrossel Principal,/home/horyu/Projetos/ciclismo_santa_helena_midias/facebook_fotos_organizadas/01_banners_hero/555512969919320.jpg,Concentração & Registros de Grupo,"Fotos de concentração na saída dos passeios, pontos de apoio e fotos em grupo."
4003279213036730.jpg,1440,1080,1.33,hero,Banner Hero / Carrossel Principal,/home/horyu/Projetos/ciclismo_santa_helena_midias/facebook_fotos_organizadas/01_banners_hero/4003279213036730.jpg,Concentração & Registros de Grupo,"Fotos de concentração na saída dos passeios, pontos de apoio e fotos em grupo."
262523902551563.jpg,726,960,0.76,mobile,Card Vertical / Mobile Stories,/home/horyu/Projetos/ciclismo_santa_helena_midias/facebook_fotos_organizadas/02_retratos_mobile/262523902551563.jpg,Paisagem & Balneário,"Fotos de paisagens rurais, Lago de Itaipu e Balneário Terra das Águas."
4116246615073322.jpg,960,853,1.13,square,Galeria Grid / Eventos,/home/horyu/Projetos/ciclismo_santa_helena_midias/facebook_fotos_organizadas/03_quadradas_galeria/4116246615073322.jpg,Concentração & Registros de Grupo,"Fotos de concentração na saída dos passeios, pontos de apoio e fotos em grupo."
237163285087625.jpg,960,720,1.33,square,Galeria Grid / Eventos,/home/horyu/Projetos/ciclismo_santa_helena_midias/facebook_fotos_organizadas/03_quadradas_galeria/237163285087625.jpg,Pedal de Grupo & Trilhas MTB,Registros dos ciclistas em ação nas trilhas de terra e estradas rurais.
507774591359825.jpg,899,960,0.94,square,Galeria Grid / Eventos,/home/horyu/Projetos/ciclismo_santa_helena_midias/facebook_fotos_organizadas/03_quadradas_galeria/507774591359825.jpg,Concentração & Registros de Grupo,"Fotos de concentração na saída dos passeios, pontos de apoio e fotos em grupo."
4356605187704129.jpg,1072,1340,0.8,mobile,Card Vertical / Mobile Stories,/home/horyu/Projetos/ciclismo_santa_helena_midias/facebook_fotos_organizadas/02_retratos_mobile/4356605187704129.jpg,Concentração & Registros de Grupo,"Fotos de concentração na saída dos passeios, pontos de apoio e fotos em grupo."
216636280473659.jpg,1080,1221,0.88,square,Galeria Grid / Eventos,/home/horyu/Projetos/ciclismo_santa_helena_midias/facebook_fotos_organizadas/03_quadradas_galeria/216636280473659.jpg,Concentração & Registros de Grupo,"Fotos de concentração na saída dos passeios, pontos de apoio e fotos em grupo."
246303000840320.jpg,960,960,1.0,square,Galeria Grid / Eventos,/home/horyu/Projetos/ciclismo_santa_helena_midias/facebook_fotos_organizadas/03_quadradas_galeria/246303000840320.jpg,Concentração & Registros de Grupo,"Fotos de concentração na saída dos passeios, pontos de apoio e fotos em grupo."
394376892699596.jpg,960,960,1.0,square,Galeria Grid / Eventos,/home/horyu/Projetos/ciclismo_santa_helena_midias/facebook_fotos_organizadas/03_quadradas_galeria/394376892699596.jpg,Concentração & Registros de Grupo,"Fotos de concentração na saída dos passeios, pontos de apoio e fotos em grupo."
518889163581701.jpg,960,716,1.34,square,Galeria Grid / Eventos,/home/horyu/Projetos/ciclismo_santa_helena_midias/facebook_fotos_organizadas/03_quadradas_galeria/518889163581701.jpg,Concentração & Registros de Grupo,"Fotos de concentração na saída dos passeios, pontos de apoio e fotos em grupo."
221108800026407.jpg,1080,923,1.17,square,Galeria Grid / Eventos,/home/horyu/Projetos/ciclismo_santa_helena_midias/facebook_fotos_organizadas/03_quadradas_galeria/221108800026407.jpg,Concentração & Registros de Grupo,"Fotos de concentração na saída dos passeios, pontos de apoio e fotos em grupo."
